Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2018-01-02,108.1119155883789,108.6500673458029,107.58319990867071,108.16856086712477,6080900
2018-01-03,109.188232421875,109.32040955714666,108.2535491929929,108.52733954240304,6946100
2018-01-04,109.59420776367188,110.80268855228933,109.54699855660157,109.75470754272901,7805300
2018-01-05,112.2188491821289,112.35102628386097,109.91517877517833,110.45333046169084,8590500
2018-01-08,112.67205047607422,113.74836128832708,111.47301301786213,111.98284218057768,6660700
2018-01-09,112.45489501953125,113.26684429212165,112.03004102478376,113.26684429212165,6562400
2018-01-10,112.33216094970703,112.39824950882259,110.89708480446522,112.05836343248178,7490300
2018-01-11,113.14409637451172,113.27628068809466,112.04891357302458,112.1622113261904,5982100
2018-01-12,113.38014221191406,113.62561710641126,113.02137675312062,113.40847205610132,5585800
2018-01-16,113.66336822509766,115.1267669169754,113.21019162070905,114.40922888972915,8803800
2018-01-17,115.16454315185547,115.33448619450407,113.98438513432713,114.42811849830295,7991500
2018-01-18,116.23139953613281,116.31636745307127,115.21174131419534,115.67436122478982,8661000
2018-01-19,115.84429931640625,116.74122366343884,115.10788192192649,116.17474929869384,8250700
2018-01-22,117.38323974609375,117.38323974609375,115.56107546397358,116.00481603469858,9355000
2018-01-23,117.68535614013672,118.49730541306911,117.26993822288404,117.63814693931701,5683300
2018-01-24,117.5909423828125,118.4406503541756,116.79787248559768,118.06300556828647,6425200
2018-01-25,118.2235107421875,118.45954234574461,117.66647241217399,118.01580177855917,7166400
2018-01-26,119.26200866699219,119.31865392799831,117.78917425594906,118.74273643073442,5604900
2018-01-29,117.86473083496094,119.79074946572828,117.72311764403959,119.65857235212671,6257900
2018-01-30,116.64681243896484,117.34546391519507,115.97647639738517,116.90172338194333,8154400
2018-01-31,117.288818359375,117.52484994431826,116.16530571004914,116.86395718460973,7338200
2018-02-01,118.6955795288086,119.20540868083098,117.1660920727414,117.77033243000204,11169700
2018-02-02,114.15433502197266,116.80732809946075,113.95606212439957,116.80732809946075,13937700
2018-02-05,109.77357482910156,114.36202977081521,108.58398073540758,112.06780229995839,16623900
2018-02-06,113.266845703125,113.57840914481453,106.92231512343504,108.763358727759,19053300
2018-02-07,112.96473693847656,115.61773009314565,112.54931897431553,113.38014769952404,9294000
2018-02-08,107.49824523925781,113.12523838675429,107.19612504352355,112.85144083388361,12673400
2018-02-09,109.82078552246094,110.66105746487955,104.81691258622861,108.14968491875004,17695500
2018-02-12,111.85066223144531,112.19998440966262,110.34949742297908,111.20865595417852,11526300
2018-02-13,111.73733520507812,112.16219632027457,110.58550007955323,111.2652721013785,7803900
2018-02-14,114.07880401611328,114.19209458343168,110.93486111698678,111.04815888741857,9206400
2018-02-15,115.6487808227539,115.6771527747206,113.46405393346859,115.10023236588398,6921300
2018-02-16,115.24208068847656,116.32025798262384,114.97726622544431,115.03401012019323,6371400
2018-02-20,115.3934097290039,116.37701148019468,114.45709215252285,114.76919801134986,6182800
2018-02-21,113.89909362792969,116.16894331497238,113.88018140078451,115.43124379020549,7676100
2018-02-22,113.851806640625,114.79757677883948,113.13302653085252,114.12608084658562,4994000
2018-02-23,116.26350402832031,116.29187597323993,114.64623822703129,114.97725627718069,5036900
2018-02-26,117.83348083496094,117.8429405553435,116.63235610986358,116.87825833024309,6270500
2018-02-27,116.67963409423828,118.50497027318164,116.66071465564625,117.93750256584667,7287200
2018-02-28,116.27296447753906,118.20233611634562,116.21621337169168,116.94446030223875,6780900
2018-03-01,113.87071228027344,117.27548292197442,113.1330128163977,116.57561512491957,8819600
2018-03-02,114.22064971923828,114.41926778639122,111.46846253056556,112.63175569158648,7581900
2018-03-05,115.27044677734375,115.67712817223207,112.96277284845297,113.91799536789208,5810200
2018-03-06,114.49492645263672,116.55670556746793,114.1260766894211,116.16894357706447,7464400
2018-03-07,115.24208068847656,115.61093043565047,113.20867361068898,113.52077946311397,7254100
2018-03-08,115.592041015625,116.15950172203324,114.59897936766977,115.34613873044148,6948900
2018-03-09,117.7578353881836,118.02264985766901,116.20677302492349,116.5661630598461,6397700
2018-03-12,117.50248718261719,118.20236232323754,116.7837070286102,117.9848320031736,8636000
2018-03-13,116.51885223388672,118.22124099040938,116.23512558490089,117.51191354446694,9479500
2018-03-14,115.9324951171875,117.31331853212762,115.2893711909199,117.31331853212762,7855000
2018-03-15,116.71749877929688,117.67272144456379,116.04599561666849,116.45267707364232,5861900
2018-03-16,117.77674102783203,118.26854548564417,116.64181987475477,117.1336171169142,9447100
2018-03-19,116.52833557128906,117.56868125972956,115.64876907142549,117.21875093349196,17387800
2018-03-20,118.1361312866211,118.3820262853632,116.61344104644998,116.6890971607117,7779700
2018-03-21,116.53778076171875,118.63739131995644,116.39591381833601,118.12667465317004,7359500
2018-03-22,113.48294830322266,116.0270720921091,113.2086741179523,115.57309928512468,10501500
2018-03-23,110.65509033203125,113.80450617323797,110.42810755173285,113.38836506298051,10024300
2018-03-26,114.09770202636719,114.19227759136291,111.41171845909254,112.63175551414764,8735400
2018-03-27,111.03340911865234,115.00564057853413,110.40919740074496,114.92997724018419,9008600
2018-03-28,110.64562225341797,111.66705551108011,109.73768398515783,110.58887836654294,9420400
2018-03-29,113.13301849365234,114.05040940139811,110.69292997865098,111.29822224685476,12918100
2018-04-02,111.96971130371094,113.33162243194931,110.42810877957908,112.80198631782741,9877100
2018-04-03,112.73577117919922,113.4829302792361,111.11850548759475,112.44258481404428,7084800
2018-04-04,113.31270599365234,113.60589961220529,110.38082031769225,110.56051893400024,8425700
2018-04-05,114.61785125732422,115.39338225129259,113.84232026335584,114.4381526755195,6816000
2018-04-06,111.31713104248047,114.02203393949651,110.76858990208882,113.66264392121884,8383800
2018-04-09,112.3480224609375,114.12606751545096,112.19669579298605,112.19669579298605,7024800
2018-04-10,114.17337799072266,114.58951918150738,113.1519444582441,114.02205129747226,8947200
2018-04-11,113.28433227539062,115.06238453782477,113.13301282374988,113.48294311447373,5874900
2018-04-12,114.50439453125,115.36504885200415,113.86127052512558,113.87073024723655,5666000
2018-04-13,114.20175170898438,115.82847760832921,114.10717613206633,115.12860968035085,9174300
2018-04-16,115.27044677734375,116.20676428703129,114.92051648997297,115.48797705558044,6903200
2018-04-17,117.0863265991211,117.52137992474456,115.87573496162047,116.24459189281556,5979600
2018-04-18,117.72945404052734,118.09830376724044,116.68910125682115,117.33222515236109,5171000
2018-04-19,117.23766326904297,117.95645058099207,116.47159178046182,117.56868136808092,7294100
