Price,Close,High,Low,Open,Volume
Ticker,HD,HD,HD,HD,HD
Date,,,,,
2018-01-02,153.79286193847656,155.99305965570863,153.7765001114663,155.57592667007657,4684700
2018-01-03,154.59445190429688,154.88072778022257,153.62114138307368,153.76836041840454,4530500
2018-01-04,155.82135009765625,156.11580069215745,154.1528050490973,155.29788376081208,4047400
2018-01-05,157.44898986816406,157.48170104999843,155.82133088254963,156.16485445370245,4224800
2018-01-08,157.07278442382812,158.44689155443976,156.7129114062244,156.81105745825963,3508500
2018-01-09,157.93971252441406,158.24233769581207,156.74554870575378,157.61253837115612,3012300
2018-01-10,156.87646484375,158.03790535096743,156.7537698197716,157.6616580833571,3119500
2018-01-11,159.23204040527344,159.27293874232623,156.5492742361579,156.7782899471492,3899200
2018-01-12,160.6551971435547,163.10894725007955,159.34653790832581,159.90271527520392,6748400
2018-01-16,160.5652618408203,162.7245619199311,160.06633204130807,161.8330355097863,5692700
2018-01-17,163.43617248535156,163.43617248535156,160.9987709653951,161.53859915280202,3996100
2018-01-18,162.21746826171875,163.77969261293882,161.6694654093874,163.40344532902816,4474600
2018-01-19,164.67120361328125,164.67120361328125,162.87178900980555,163.4279664863402,5809600
2018-01-22,167.23130798339844,167.23948266008796,164.81844295479053,164.89206496668592,4857700
2018-01-23,167.59117126464844,168.77716077837763,166.97773357703198,167.58299658843202,3621700
2018-01-24,168.6708221435547,169.39059300087067,167.3049024341819,167.83654342079492,4370700
2018-01-25,167.9755859375,169.1697500757159,166.72417410740573,169.14521356770788,3537700
2018-01-26,169.4969024658203,169.56233731036468,167.21491998427987,168.1637065095426,3778100
2018-01-29,167.6075439453125,169.80774259083114,167.43578837069975,169.4969301485876,3632900
2018-01-30,165.06381225585938,166.15981793752485,156.68835095068812,164.78572349730337,5979600
2018-01-31,164.31948852539062,167.73838741393203,163.77148573903528,166.2170615889678,4547300
2018-02-01,163.50160217285156,165.42371210167803,162.17658063578483,163.04357065289875,3553800
2018-02-02,158.65133666992188,163.0108350955975,158.21784172616918,162.96993675591082,6179000
2018-02-05,149.76873779296875,158.92122829574532,147.5358285420766,155.46144391001275,10618500
2018-02-06,156.2548370361328,157.00733155703855,143.4789792193576,146.09631076896042,11682700
2018-02-07,156.4592742919922,159.10115412163978,155.17515161008123,156.0012429537203,6016800
2018-02-08,148.22288513183594,156.33661837981708,147.98568226818043,156.33661837981708,7241800
2018-02-09,150.5948486328125,152.13253632705724,143.78159967492337,149.8832649566303,9059200
2018-02-12,150.54576110839844,152.9586131225858,150.0141201915235,152.58237839137513,6783700
2018-02-13,150.26766967773438,150.48851069970343,147.95296372568376,149.8668859682971,4273800
2018-02-14,151.06103515625,151.36366033718167,148.0838189101088,148.76269125903565,6767000
2018-02-15,151.535400390625,153.10579864490757,149.89138016285452,152.73773869913157,5113300
2018-02-16,152.92591857910156,153.760197283184,151.2001134797071,151.36369435804733,7619200
2018-02-20,152.71331787109375,156.5820625290893,152.3861435200466,155.32246311830215,8922100
2018-02-21,149.72787475585938,153.75202464913747,149.56429386206867,153.12223758402212,7527200
2018-02-22,151.69906616210938,152.3125039087679,149.6052006503826,150.26771141990616,5653900
