Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2000-01-03,35.520381927490234,36.14889270690427,34.13003990030161,35.76797708301698,53228400
2000-01-04,34.32048034667969,35.69177589882227,34.20620571733448,34.60616692004273,54119000
2000-01-05,34.68235397338867,35.46323069656766,33.3301040381275,33.86338570273754,64059600
2000-01-06,33.520591735839844,34.701430762897836,33.025401176105845,34.18719441240484,54976600
2000-01-07,33.9586067199707,34.2062017212941,32.70158594402114,33.10154710000509,62013600
2000-01-10,34.20622634887695,34.644279358912684,33.939585386246506,34.56809622673256,44963600
2000-01-11,33.330116271972656,34.815687168666294,33.1206126839774,33.97767281668527,46743600
2000-01-12,32.2445068359375,33.17775009344544,31.8254996590972,33.063475408852625,66532400
2000-01-13,32.85397720336914,33.10157239388728,30.930353030882017,31.806459089638526,83144000
2000-01-14,34.20622634887695,34.72046249109281,32.22546491219366,32.66351792222938,73416400
2000-01-18,35.139469146728516,35.50133901870024,34.05385953081333,34.07290531354868,81483600
2000-01-19,32.60636520385742,33.97766093672993,32.30163281877464,33.67292855164715,97568200
2000-01-20,32.301631927490234,33.42533256647722,32.263540380405935,32.625410077706825,56349800
2000-01-21,31.61600685119629,32.68257093774267,31.463640553118235,32.60638778870364,68416200
2000-01-24,30.854171752929688,32.206422490249444,30.720851257700975,31.630287493011096,63597600
2000-01-25,31.330305099487305,31.65408332847897,30.33992463433634,30.777977532383883,59823200
2000-01-26,30.282791137695312,31.539812656618516,30.206608015336332,31.216034386592842,49365000
2000-01-27,30.092317581176758,30.83510263539568,29.635219086272805,30.43990289500997,63654800
2000-01-28,29.939970016479492,30.54943505498289,29.63523749722779,29.901878451573026,58225400
2000-01-31,29.825687408447266,29.920916295447416,28.911490093245817,29.749504298847146,73194200
2000-02-01,31.368389129638672,31.46361799767036,29.768544146706283,30.016139203588676,70196600
2000-02-02,30.72084617614746,31.67313527026239,30.62561726673597,31.216036505087224,49915600
2000-02-03,31.577892303466797,31.749304264100815,30.511328992855134,31.101747968372305,49186000
2000-02-04,32.47305679321289,32.911109758751834,31.735032775185328,31.806454454349286,55365400
2000-02-07,32.492095947265625,32.56827905616895,31.768356412684092,32.54923327894311,40005800
2000-02-08,33.50152587890625,33.52057165825753,32.43496223523442,32.43496223523442,56229000
2000-02-09,31.69217300415039,33.34915560713181,31.654081450058865,33.34915560713181,55090000
2000-02-10,32.301631927490234,32.473043889369606,31.235068609129712,31.658837070442598,54527800
2000-02-11,30.454206466674805,31.9588232964855,30.20661129214899,31.9588232964855,115559000
2000-02-14,30.358976364135742,31.006532949067118,30.187564326948024,30.84940524831171,81028600
2000-02-15,30.035200119018555,30.47325313280259,29.901879636562544,30.397069999970586,71027600
2000-02-16,29.74950408935547,30.530380957257883,29.597137871228167,30.244694298269195,65202600
2000-02-17,30.358976364135742,30.37802214604549,29.60190653322332,30.016152289760306,80343400
2000-02-18,28.9686279296875,30.492290148211495,28.91149059649285,30.473244370479946,79063000
2000-02-22,28.587717056274414,29.5971434413394,28.282984562669892,28.987678454130354,66296200
2000-02-23,28.721031188964844,29.178129828577017,28.05442900619709,28.492481869158755,75847200
2000-02-24,28.873401641845703,29.216225671894,28.03538734617208,28.72103540626868,69733200
2000-02-25,27.82587432861328,28.859107512957753,27.578279279830276,28.854346069711927,65301400
2000-02-28,27.902067184448242,28.07347920128103,26.854549303803427,27.502105811838405,76131800
2000-02-29,27.235456466674805,27.959195869285743,27.08309027665145,27.959195869285743,58437400
2000-03-01,27.67352294921875,28.67342656575969,27.1021494540525,27.311653068946793,106889800
2000-03-02,28.454402923583984,29.063868046445222,27.768754660365097,27.978258296348645,106932600
2000-03-03,29.292421340942383,30.13043599568976,28.606772987058164,28.873414013568695,101435200
2000-03-06,27.616369247436523,29.673312612073175,27.464003072278253,29.254305630387933,93609400
2000-03-07,28.302021026611328,29.711408345567747,28.016334407903948,29.29240130479692,135061000
2000-03-08,29.12099266052246,29.311450428086378,27.73065095730589,28.587710911343503,94290000
2000-03-09,30.47325325012207,30.473253250122067,28.949590587615965,29.044819504022595,88198800
2000-03-10,30.77798080444336,31.235079529261828,30.320882079624894,30.339927859825664,85589000
2000-03-13,29.863779067993164,30.54942705679913,29.711412848258504,29.74950440319217,61831800
2000-03-14,28.987680435180664,30.24470205720558,28.987680435180664,30.054244235686653,73489200
2000-03-15,29.06386375427246,29.444779399806833,28.549627632801062,28.81626858467512,53208000
2000-03-16,29.06386375427246,29.46382518208355,28.416307156864033,29.235275794762927,77300800
2000-03-17,30.282791137695312,30.320882698874804,28.797220251695165,29.025769618772113,81161600
2000-03-20,29.67332649230957,30.397066162853704,29.406685561056467,30.092333669993014,47773000
2000-03-21,31.3112735748291,31.42554829590512,29.406694890228792,29.482878037612803,81648800
2000-03-22,31.463619232177734,32.187358657615235,30.816062904154705,31.330298811702406,93975800
2000-03-23,34.091941833496094,34.396674274465894,32.49209651840466,32.5492338510865,148224000
2000-03-24,34.0348014831543,35.04422760436704,33.387245103508384,34.320488121233375,112196800
2000-03-27,31.711214065551758,32.987280937859246,31.67312251712467,32.83967618770428,111434000
2000-03-28,31.78740882873535,32.73969788891316,31.19698961142511,31.57790523549623,81114400
2000-03-29,32.66352462768555,33.19680666242327,32.035013658173234,32.05405944512815,64363800
2000-03-30,31.50172233581543,33.10156796834777,31.23508139706004,32.35878249610061,64178400
2000-03-31,32.37783432006836,32.98729943668141,31.730277633666994,32.30165118049173,64281400
2000-04-03,27.69255256652832,29.406672051389084,27.4259117577722,28.778161573606805,260118200
2000-04-04,26.987869262695312,28.035387123985533,25.883214063516537,27.902066668912234,181244400
2000-04-05,26.32126235961914,26.968818741838426,26.168896152038133,26.89263563804792,82887600
2000-04-06,26.20699691772461,26.816461962322855,25.98320897166119,26.778370397035463,66421400
2000-04-07,27.140241622924805,27.235470540899982,25.902265689247535,26.511730764288654,82613600
2000-04-10,26.226036071777344,27.006912962803394,26.20699029394744,27.006912962803394,60685400
2000-04-11,25.559431076049805,26.226033227809673,25.4451564214624,25.940346591341157,71961800
2000-04-12,24.188127517700195,25.064232923853112,23.997669820710428,25.026141384455162,153003800
2000-04-13,24.150047302246094,25.064244676463613,24.073864187727967,24.645237546613917,94316200
2000-04-14,22.58829689025879,24.22623410152545,22.3216559488898,24.11195941236731,151217800
2000-04-17,23.121580123901367,23.159671689179625,22.24547412250148,22.62638977528404,119772200
2000-04-18,24.55001449584961,24.969021725414148,23.12158075869777,23.312038590318014,91794600
2000-04-19,23.978633880615234,24.835693868405293,23.80722188305722,24.81664809089885,53715400
2000-04-20,24.054811477661133,24.340498074783,23.616758695407604,23.959582611953845,52387400
2000-04-24,20.30280113220215,20.72180828502433,19.80761086068502,20.493258928939504,313645800
2000-04-25,21.140811920166016,21.178903473175325,20.607530178035702,20.950354155119477,159517400
2000-04-26,20.721805572509766,21.674094431540542,20.531347800703607,21.331270442289462,107091200
2000-04-27,21.274139404296875,21.312230969926773,20.531353874513904,20.550399657328853,77669800
2000-04-28,21.255096435546875,21.636012142277107,20.797997587470597,21.55982900093106,78082600
